date,open,high,low,close,volume
2025-01-01,5.400882735004333,5.4245261987517726,5.39856364497166,5.409982123674052,129352469
2025-01-02,5.366954781060342,5.3760099075911185,5.3381368797652184,5.371297427754641,19700938
2025-01-03,5.382257863104897,5.391314884580476,5.361927789972719,5.379401802486929,40058761
2025-01-06,5.357577877788188,5.393305548563816,5.3317486622897805,5.343037591366997,90663930
2025-01-07,5.31071886680944,5.357266693434761,5.28606073654815,5.310436846992585,22313104
2025-01-08,5.3758690409823595,5.407876025186815,5.353116744478642,5.375623294257616,196706679
2025-01-09,5.456209222528553,5.503302273299638,5.439659687410235,5.448173026820616,193467822
2025-01-10,5.338963654602685,5.361687169279177,5.3308090641865284,5.338425841332932,146189359
2025-01-13,5.395054725594751,5.444835587485744,5.384317092340509,5.388205990335194,34978764
2025-01-14,5.492398472859148,5.548220274267087,5.453630188681075,5.480576501641579,158197832
2025-01-15,5.581312576136621,5.591677632146044,5.579980955780616,5.584973382658131,32025546
2025-01-16,5.585036355779073,5.648082707577966,5.562629609525974,5.621859656091209,62035210
2025-01-17,5.543465856725352,5.576198936938335,5.511438848870947,5.55254901728475,17513349
2025-01-20,5.610052764474832,5.625355241183605,5.570644678274818,5.596523928882732,24329408
2025-01-21,5.539787053560506,5.57049769703787,5.529645885554605,5.540161178222687,198073781
2025-01-22,5.515611088183868,5.54211301876955,5.47851067639177,5.519354648658561,150139909
2025-01-23,5.5596576570847045,5.569629755048086,5.531315859038673,5.5467140117437195,6724620
2025-01-24,5.4940319991272375,5.516687575041322,5.494018361417886,5.495145589460284,66302485
2025-01-27,5.398838747221359,5.462806546068068,5.381838789366558,5.421528202801896,76939029
2025-01-28,5.437363211395276,5.478584089882677,5.4060418671229025,5.453782391142632,78675556
2025-01-29,5.582617359548574,5.615447974370566,5.566920720604391,5.577946966632969,22135278
2025-01-30,5.662413739760465,5.681117057413077,5.624846188283792,5.6631713694911,53259953
2025-01-31,5.729890797708918,5.760581193134983,5.70361927375637,5.713269109857021,49898291
2025-02-03,5.773977894701186,5.784611220885623,5.761867782004986,5.78245808556029,39955903
2025-02-04,5.825182775232876,5.843367670089978,5.820162848525987,5.8287908056246795,187515118
2025-02-05,5.851987115427144,5.884001452498643,5.816575988763394,5.862357662162263,93665977
2025-02-06,5.921512505138408,5.9286979290609105,5.8987722847516215,5.927684341048564,40270980
2025-02-07,5.810414616722073,5.841286871956257,5.804251427681423,5.832483613727692,9952505
2025-02-10,5.844033856295016,5.877433170725108,5.82760412083335,5.848545244710797,118455907
2025-02-11,5.844363226177816,5.870626039118475,5.813893913395376,5.84496957003855,76209185
2025-02-12,5.851012192896459,5.890176428892496,5.813952366771733,5.852607974848123,101433215
2025-02-13,5.847342885426971,5.860198075479262,5.802005317395899,5.822312145278263,105643782
2025-02-14,5.882264765660425,5.906810319356429,5.841909333713387,5.860773490051749,132716265
2025-02-17,5.796640596834537,5.816879220551732,5.794495582883572,5.805359078956793,44649993
2025-02-18,5.746670287836506,5.805563039504655,5.730951892903644,5.770258373490915,5037361
2025-02-19,5.725922741394352,5.770425649676882,5.7255935711356765,5.727058993941269,154764944
2025-02-20,5.792854069756997,5.824424976613723,5.75156433833516,5.7884952154902285,142680955
