date,open,high,low,close,volume
2025-01-01,6.874928850360007,6.901163073929461,6.860880293055143,6.8988514953470546,17639602
2025-01-02,6.921314874843883,6.945792120026905,6.901474928570721,6.929077160632063,52918862
2025-01-03,6.876580790771104,6.901844972011368,6.8581509423807265,6.865727537403865,81645028
2025-01-06,6.925730608255183,6.975542874060908,6.870999432042303,6.917924590700908,35825554
2025-01-07,6.917070664865936,6.956605418302863,6.881142225766492,6.930648249872702,72626790
2025-01-08,6.86839510373617,6.878714437289479,6.841179720695254,6.850824855978377,11807173
2025-01-09,6.881321225181953,6.911561916177226,6.825217591813137,6.840645715754983,114973498
2025-01-10,6.837016220588004,6.899894982080549,6.792476854548411,6.849382430625778,146865170
2025-01-13,6.800062258544487,6.823699821577725,6.778114548235223,6.8028634301085855,187613304
2025-01-14,6.856411967967343,6.932174887406656,6.854503194213608,6.864946406533257,60400027
2025-01-15,6.78146446541605,6.792151987011292,6.756039233444121,6.782751638452619,128449833
2025-01-16,6.959468632842571,6.973741206911312,6.950535599868097,6.955658239784215,30621906
2025-01-17,7.028227310199067,7.087683367700422,7.015039681681845,7.038043028653219,14816702
2025-01-20,7.066395887362559,7.091868186622865,7.039203493588514,7.0703117058857945,154692606
2025-01-21,7.315823225389922,7.355215985247011,7.262133567338354,7.314546936447936,197357194
2025-01-22,7.297200448307678,7.319941463374254,7.216910809170232,7.2903241858699,52915342
2025-01-23,7.368273697513752,7.377830335182599,7.2873066611650374,7.346725854831785,71936329
2025-01-24,7.3690828150085474,7.389340686726472,7.341195027472042,7.3692962130052,75825578
2025-01-27,7.434402017837418,7.443753521823616,7.354318272015224,7.442765239309007,13241730
2025-01-28,7.589920877584532,7.613032170215121,7.536353817230092,7.579365260093908,196056024
2025-01-29,7.638433759358877,7.669386663691118,7.624227863929988,7.632325260213605,132119978
2025-01-30,7.727812487869045,7.752063905349699,7.694709247329048,7.730793908675498,59494867
2025-01-31,7.690279591931692,7.7075457396391025,7.667236615629605,7.682826992760813,14271125
2025-02-03,7.661019213122321,7.703407234246418,7.659055830103133,7.666894332455764,102720497
2025-02-04,7.812392085628059,7.8909077533960374,7.808663006922859,7.820688021517306,91990712
2025-02-05,7.849897613532424,7.905056614913378,7.821965342749941,7.879830206910107,20760206
2025-02-06,7.901277692979399,7.957538643406583,7.851795009298845,7.906463116886995,128707878
2025-02-07,7.810529858139708,7.84679322145636,7.754258038435281,7.838159731448218,98730045
2025-02-10,7.9220672365995375,7.932228808205442,7.919961184733027,7.9322110090975295,30666076
2025-02-11,7.8701095049922625,7.912292868227609,7.836706662990141,7.860998910114615,78143807
2025-02-12,7.739258306414515,7.7882384277595165,7.697003720308966,7.762626446246925,103262793
2025-02-13,7.7734843704189025,7.833893147710119,7.73884902167546,7.776437004916926,138408780
